!omamer-version: 2.1.0
!query-md5: b1022a2eef4c4ef7c94a073929431510
!date-run: 2025-08-14T14:31:03.907264
!db-path: omamer_databases/Saccharomyceta.h5
!db-info-source: OMA / All.Jul2024
!db-info-root_level: saccharomyceta
!db-info-database_hash: cff59319f81d8a72e30d5c49daa09a9a
qseqid	hogid	hoglevel	family_p	family_count	family_normcount	subfamily_score	subfamily_count	qseqlen	subfamily_medianseqlen	qseq_overlap
tr|A0A0K0PSV7|A0A0K0PSV7_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	176	N/A	N/A
tr|A0A0K0PSW1|A0A0K0PSW1_SCLS1	HOG:E0829583.1b.3a	Aspergillaceae	2306.1272892974275	315	0.4801035392277682	0.10203989473542652	40	662	659	0.9228441754916793
tr|A0A0K0PSW3|A0A0K0PSW3_SCLS1	HOG:E0813598.2c	saccharomyceta	390.4936314642624	51	0.12170153594593383	0.12171749624782843	51	425	89	0.1320754716981132
tr|A0A0K0PSW5|A0A0K0PSW5_SCLS1	HOG:E0813599.2a	saccharomyceta	407.3464512557726	55	0.26694675111999794	0.26698671461094625	55	212	202	0.7819905213270142
tr|A0A0K0PSW6|A0A0K0PSW6_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	295	N/A	N/A
tr|A0A0K0PSW8|A0A0K0PSW8_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	362	N/A	N/A
tr|A0A0K0PSW9|A0A0K0PSW9_SCLS1	HOG:E0480908	saccharomyceta	149.73142071186567	25	0.07759108280652292	N/A	N/A	328	270	0.7584097859327217
tr|A0A0K0PSX0|A0A0K0PSX0_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	274	N/A	N/A
tr|A0A0K0PSX1|A0A0K0PSX1_SCLS1	HOG:E0480899	saccharomyceta	34.03522279105944	8	0.028626830569827306	N/A	N/A	285	276	0.4471830985915493
tr|A0A0K0PSX3|A0A0K0PSX3_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	305	N/A	N/A
tr|A0A0K0PSX4|A0A0K0PSX4_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	375	N/A	N/A
